iter	Passed	Remaining
0	1	164
1	3	163
2	4	153
3	6	145
4	7	143
5	8	140
6	10	138
7	11	135
8	13	135
9	14	133
10	16	133
11	17	131
12	19	133
13	21	131
14	22	128
15	24	126
16	25	125
17	27	124
18	28	122
19	30	120
20	32	120
21	33	119
22	34	117
23	36	115
24	37	113
25	39	111
26	40	109
27	42	108
28	43	107
29	45	106
30	47	104
31	48	103
32	49	101
33	51	99
34	52	97
35	53	95
36	55	94
37	57	93
38	58	91
39	59	89
40	61	88
41	61	85
42	62	83
43	64	81
44	65	80
45	67	79
46	68	77
47	70	76
48	71	74
49	73	73
50	74	71
51	76	70
52	78	69
53	79	68
54	80	66
55	82	64
56	84	63
57	86	62
58	88	61
59	90	60
60	93	59
61	95	58
62	96	56
63	98	55
64	100	53
65	101	52
66	104	51
67	106	50
68	108	48
69	109	47
70	111	45
71	113	44
72	115	42
73	118	41
74	119	39
75	121	38
76	122	36
77	123	34
78	125	33
79	127	31
80	129	30
81	131	28
82	132	27
83	134	25
84	135	23
85	136	22
86	138	20
87	140	19
88	141	17
89	143	15
90	145	14
91	146	12
92	150	11
93	152	9
94	153	8
95	155	6
96	157	4
97	161	3
98	164	1
99	166	0
