iter	Passed	Remaining
0	140	140747
1	142	71101
2	143	47848
3	145	36188
4	148	29614
5	150	24850
6	151	21481
7	152	18933
8	153	16945
9	155	15346
10	156	14037
11	157	12951
12	161	12240
13	162	11454
14	163	10752
15	164	10142
16	166	9602
17	167	9117
18	168	8690
19	169	8301
20	172	8050
21	174	7739
22	175	7455
23	176	7189
24	178	6942
25	179	6714
26	181	6523
27	182	6344
28	184	6180
29	185	6011
30	187	5854
31	188	5701
32	189	5557
33	190	5419
34	191	5289
35	193	5169
36	196	5115
37	198	5013
38	199	4908
39	200	4811
40	201	4721
41	203	4633
42	204	4547
43	205	4466
44	209	4446
45	210	4372
46	212	4303
47	213	4236
48	214	4170
49	216	4105
50	217	4044
51	221	4040
52	223	3993
53	225	3944
54	226	3894
55	228	3849
56	230	3814
57	232	3776
58	233	3729
59	235	3683
60	236	3641
61	237	3598
62	239	3555
63	240	3515
64	241	3479
65	243	3444
66	244	3411
67	246	3375
68	247	3339
69	249	3311
70	258	3383
71	260	3353
72	267	3390
73	269	3367
74	270	3338
75	271	3306
76	273	3273
77	274	3243
78	278	3245
79	280	3225
80	281	3195
81	282	3166
82	283	3132
83	284	3106
84	286	3080
85	289	3080
86	291	3059
87	292	3036
88	294	3011
89	295	2986
90	296	2962
91	297	2939
92	299	2917
93	302	2913
94	303	2892
95	304	2871
96	307	2859
97	309	2845
98	311	2834
99	313	2818
100	314	2798
101	315	2778
102	316	2759
103	318	2742
104	319	2725
105	323	2732
106	325	2716
107	327	2702
108	328	2686
109	330	2673
110	337	2699
111	339	2690
112	340	2674
113	342	2662
114	343	2646
115	345	2629
116	348	2633
117	351	2626
118	353	2614
119	354	2602
120	356	2590
121	360	2592
122	361	2578
123	362	2563
124	364	2549
125	365	2534
126	366	2519
127	368	2507
128	369	2493
129	374	2505
130	377	2501
131	378	2492
132	389	2537
133	392	2533
134	400	2568
135	404	2570
136	406	2562
137	412	2574
138	413	2564
139	415	2553
140	417	2543
141	418	2528
142	421	2528
143	423	2519
144	425	2508
145	427	2498
146	428	2487
147	435	2506
148	436	2495
149	438	2483
150	439	2471
151	441	2461
152	446	2470
153	447	2459
154	448	2447
155	450	2435
156	451	2424
157	452	2412
158	453	2400
159	455	2388
160	457	2385
161	459	2376
162	460	2366
163	462	2359
164	466	2362
165	468	2354
166	470	2345
167	471	2335
168	472	2324
169	474	2314
170	477	2315
171	479	2306
172	480	2296
173	481	2286
174	482	2276
175	484	2266
176	485	2256
177	486	2246
178	490	2247
